"","Group","Whitehall","Gender","Date","Civil.Service.grad","count","total","share","grp"
"166","CO","NWH","Male",2011,"AO/AA",60,1560,0.0384615384615385,"COMale"
"167","CO","NWH","Male",2011,"EO",120,1560,0.0769230769230769,"COMale"
"168","CO","NWH","Male",2011,"G6/G7",190,1560,0.121794871794872,"COMale"
"169","CO","NWH","Male",2011,"SEO/HEO",280,1560,0.179487179487179,"COMale"
"170","CO","NWH","Male",2011,"SCS",70,1560,0.0448717948717949,"COMale"
"171","CO","NWH","Male",2012,"AO/AA",50,1110,0.045045045045045,"COMale"
"172","CO","NWH","Male",2012,"EO",90,1110,0.0810810810810811,"COMale"
"173","CO","NWH","Male",2012,"G6/G7",130,1110,0.117117117117117,"COMale"
"174","CO","NWH","Male",2012,"SEO/HEO",230,1110,0.207207207207207,"COMale"
"175","CO","NWH","Male",2012,"SCS",60,1110,0.0540540540540541,"COMale"
"176","CO","NWH","Male",2013,"AO/AA",50,810,0.0617283950617284,"COMale"
"177","CO","NWH","Male",2013,"EO",80,810,0.0987654320987654,"COMale"
"178","CO","NWH","Male",2013,"G6/G7",90,810,0.111111111111111,"COMale"
"179","CO","NWH","Male",2013,"SEO/HEO",170,810,0.209876543209877,"COMale"
"180","CO","NWH","Male",2013,"SCS",20,810,0.0246913580246914,"COMale"
"181","CO","WH","Female",2008,"AO/AA",100,1240,0.0806451612903226,"COFemale"
"182","CO","WH","Female",2008,"EO",170,1240,0.137096774193548,"COFemale"
"183","CO","WH","Female",2008,"G6/G7",140,1240,0.112903225806452,"COFemale"
"184","CO","WH","Female",2008,"SEO/HEO",180,1240,0.145161290322581,"COFemale"
"185","CO","WH","Female",2008,"SCS",60,1240,0.0483870967741935,"COFemale"
"186","CO","WH","Female",2009,"AO/AA",110,1260,0.0873015873015873,"COFemale"
"187","CO","WH","Female",2009,"EO",170,1260,0.134920634920635,"COFemale"
"188","CO","WH","Female",2009,"G6/G7",150,1260,0.119047619047619,"COFemale"
"189","CO","WH","Female",2009,"SEO/HEO",190,1260,0.150793650793651,"COFemale"
"190","CO","WH","Female",2009,"SCS",60,1260,0.0476190476190476,"COFemale"
"191","CO","WH","Female",2010,"AO/AA",100,1270,0.078740157480315,"COFemale"
"192","CO","WH","Female",2010,"EO",160,1270,0.125984251968504,"COFemale"
"193","CO","WH","Female",2010,"G6/G7",150,1270,0.118110236220472,"COFemale"
"194","CO","WH","Female",2010,"SEO/HEO",210,1270,0.165354330708661,"COFemale"
"195","CO","WH","Female",2010,"SCS",60,1270,0.047244094488189,"COFemale"
"196","CO","WH","Female",2011,"AO/AA",100,1510,0.0662251655629139,"COFemale"
"197","CO","WH","Female",2011,"EO",160,1510,0.105960264900662,"COFemale"
"198","CO","WH","Female",2011,"G6/G7",200,1510,0.132450331125828,"COFemale"
"199","CO","WH","Female",2011,"SEO/HEO",270,1510,0.178807947019868,"COFemale"
"200","CO","WH","Female",2011,"SCS",70,1510,0.0463576158940397,"COFemale"
"201","CO","WH","Female",2012,"AO/AA",90,1620,0.0555555555555556,"COFemale"
"202","CO","WH","Female",2012,"EO",150,1620,0.0925925925925926,"COFemale"
"203","CO","WH","Female",2012,"G6/G7",230,1620,0.141975308641975,"COFemale"
"204","CO","WH","Female",2012,"SEO/HEO",280,1620,0.172839506172839,"COFemale"
"205","CO","WH","Female",2012,"SCS",70,1620,0.0432098765432099,"COFemale"
"206","CO","WH","Female",2013,"AO/AA",90,1840,0.0489130434782609,"COFemale"
"207","CO","WH","Female",2013,"EO",150,1840,0.0815217391304348,"COFemale"
"208","CO","WH","Female",2013,"G6/G7",290,1840,0.157608695652174,"COFemale"
"209","CO","WH","Female",2013,"SEO/HEO",310,1840,0.168478260869565,"COFemale"
"210","CO","WH","Female",2013,"SCS",70,1840,0.0380434782608696,"COFemale"
"211","CO","WH","Male",2008,"AO/AA",80,1240,0.0645161290322581,"COMale"
"212","CO","WH","Male",2008,"EO",90,1240,0.0725806451612903,"COMale"
"213","CO","WH","Male",2008,"G6/G7",170,1240,0.137096774193548,"COMale"
"214","CO","WH","Male",2008,"SEO/HEO",170,1240,0.137096774193548,"COMale"
