"puborg","puburl","saved.as","extension","url","marked.as.csv","filetitle","pubtitle","pubdescription","date_year","month","senjun","organogram","staff","workforce","annual","payments","strategy","special","recruitment","meetings","earners","hospitality","expenses","spending","ministerial","travel","business","date","abbrev","coredept","include","filename"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/dclg-staff-data-and-organogram-june-2010","Department for Communities and Local Government_213","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/11374/Department_for_Communities_and_Local_Government_senior_salaries_dataset__.csv_format_.csv","TRUE","DCLG: senior salaries data set (.csv format)","DCLG staff data and organogram: June 2010","Details of junior and senior posts at the DCLG, their salary information and an organisational chart.","2010","June","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010 June","DCLG",TRUE,TRUE,"Department for Communities and Local Government_213.csv"
"Department for Culture, Media & Sport","http://www.gov.uk/government/publications/dcms-disclosure-of-senior-and-junior-salaries-and-production-of-organograms-march-2011","Department for Culture, Media & Sport_104","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70608/dcms-staff-and-salary-data-senior-data-March2011.csv","TRUE","Senior salaries and staff posts dataset","DCMS  Disclosure of Senior and Junior Salaries and Production of Organograms  March 2011","As part of its commitment to greater transparency, the Government will publish salary information for the Senior Civil Service and organograms","2011","March","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 March","DCMS",TRUE,TRUE,"Department for Culture, Media & Sport_104.csv"
"Department for Culture, Media & Sport","http://www.gov.uk/government/publications/dcms-disclosure-of-senior-and-junior-salaries-and-production-of-organograms-march-2012","Department for Culture, Media & Sport_98","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70605/DCMS-staff-and-salary-data-senior-staff-March-2012.csv","TRUE","Senior salaries and staff posts dataset","DCMS  Disclosure of Senior and Junior Salaries and Production of Organograms  March 2012","As part of its commitment to greater transparency, the Government will publish salary information for the Senior Civil Service and organograms","2012","March","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 March","DCMS",TRUE,TRUE,"Department for Culture, Media & Sport_98.csv"
"Department for Culture, Media & Sport","http://www.gov.uk/government/publications/dcms-disclosure-of-senior-and-junior-salaries-and-production-of-organograms-september-2011","Department for Culture, Media & Sport_107","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70505/dcms-staff-and-salary-data-senior-data-Sept2011.csv","TRUE","Senior salaries and staff posts dataset","DCMS  Disclosure of Senior and Junior Salaries and Production of Organograms  September 2011","Salary information for the Senior Civil Service and organograms","2011","September","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 September","DCMS",TRUE,TRUE,"Department for Culture, Media & Sport_107.csv"
"Department for Culture, Media & Sport","http://www.gov.uk/government/publications/dcms-disclosure-of-senior-salaries-and-production-of-organograms","Department for Culture, Media & Sport_102","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70545/DCMS_senior-post-dataset-2010.csv","TRUE","Senior staffposts dataset","DCMS  Disclosure of Senior Salaries and Production of Organograms","As part of its commitment to greater transparency of public information, the Government set out the following timed commitments","2010",NA,"senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010 NA","DCMS",TRUE,TRUE,"Department for Culture, Media & Sport_102.csv"
"Department for Culture, Media & Sport","http://www.gov.uk/government/publications/dcms-disclosure-of-senior-and-junior-salaries-and-production-of-organogram-september-2012","Department for Culture, Media & Sport_68","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70479/DCMS-staff-and-salary-data-senior-staff-Sept12.csv","TRUE","Senior salaries and staff posts dataset","DCMS  Disclosure of Senior and Junior Salaries and Production of Organogram  September 2012","As part of its commitment to greater transparency, the Government will publish salary information for the Senior Civil Service and organograms","2012","September","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 September","DCMS",TRUE,TRUE,"Department for Culture, Media & Sport_68.csv"
"Department for Culture, Media & Sport","http://www.gov.uk/government/publications/dcms-disclosure-of-senior-and-junior-salaries-and-production-of-organogram-march-2013","Department for Culture, Media & Sport_3","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/230196/DCMS-staff-and-salary-data-senior-staff-Mar2013.csv","TRUE","Senior salaries and staff posts dataset, March 2013","DCMS  Disclosure of Senior and Junior Salaries and Production of Organogram  March 2013","As part of its commitment to greater transparency, government will publish salary information for the Senior Civil Service and organograms.","2013","March","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 March","DCMS",TRUE,TRUE,"Department for Culture, Media & Sport_3.csv"
"Department for Culture, Media & Sport","http://www.gov.uk/government/publications/dcms-disclosure-of-senior-and-junior-salaries-and-production-of-organogram-september-2013","Department for Culture, Media & Sport_0","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/262366/DCMS-Government_staff_and_salary_data_-_September_2013-senior-data.csv","TRUE","Senior salaries and staff posts dataset, September 2013","DCMS  Disclosure of Senior and Junior Salaries and Production of Organogram  September 2013","As part of its commitment to greater transparency, government will publish salary information for the Senior Civil Service and organograms.","2013","September","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 September","DCMS",TRUE,TRUE,"Department for Culture, Media & Sport_0.csv"
"Department for Culture, Media & Sport","http://www.gov.uk/government/publications/dcms-disclosure-of-senior-salaries-and-production-of-organograms","Department for Culture, Media & Sport_101","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70544/DCMS_senior-salary-dataset-2010.csv","TRUE","Senior salaries dataset","DCMS  Disclosure of Senior Salaries and Production of Organograms","As part of its commitment to greater transparency of public information, the Government set out the following timed commitments","2010",NA,"senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010 NA","DCMS",TRUE,TRUE,"Department for Culture, Media & Sport_101.csv"
"Department for Education","http://www.gov.uk/government/publications/disclosure-of-scs-posts-and-salary-information","Department for Education_184","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/198399/dfe_20senior_20staff_20data_20march_202011.csv","TRUE","Department for Education senior staff data: March 2011","Disclosure of senior civil servant post and salary information","Information on posts and salaries for members of the Department for Education (DfE) and its arm's length bodies. ","2011","March","senior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 March","DfE",TRUE,TRUE,"Department for Education_184.csv"
