"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"78","DfE",2012,"SCS","Disabled",0,100,0,0.111940298507463,FALSE,"DfESCS",0
"79","DfE",2010,"All grades","Disabled",220,2560,0.0859375,0.111940298507463,FALSE,"DfEAll grades",0.0859375
"80","DfE",2013,"SCS","Disabled",10,180,0.0555555555555556,0.111940298507463,FALSE,"DfESCS",0.0555555555555556
"81","DfE",2009,"SCS","Disabled",0,130,0,0.111940298507463,FALSE,"DfESCS",0
"82","DfE",2012,"All grades","Disabled",190,1990,0.0954773869346734,0.111940298507463,FALSE,"DfEAll grades",0.0954773869346734
"83","DfE",2011,"SCS","Disabled",0,110,0,0.111940298507463,FALSE,"DfESCS",0
"84","DfE",2009,"All grades","Disabled",230,2830,0.0812720848056537,0.111940298507463,FALSE,"DfEAll grades",0.0812720848056537
"85","DfID",2010,"All grades","Disabled",60,1620,0.037037037037037,0.0331491712707182,FALSE,"DfIDAll grades",0.037037037037037
"86","DfID",2008,"SCS","Disabled",0,100,0,0.0331491712707182,FALSE,"DfIDSCS",0
"87","DfID",2011,"All grades","Disabled",60,1620,0.037037037037037,0.0331491712707182,FALSE,"DfIDAll grades",0.037037037037037
"88","DfID",2013,"SCS","Disabled",0,80,0,0.0331491712707182,FALSE,"DfIDSCS",0
"89","DfID",2011,"SCS","Disabled",0,80,0,0.0331491712707182,FALSE,"DfIDSCS",0
"90","DfID",2008,"All grades","Disabled",60,1670,0.0359281437125748,0.0331491712707182,FALSE,"DfIDAll grades",0.0359281437125748
"91","DfID",2012,"SCS","Disabled",0,80,0,0.0331491712707182,FALSE,"DfIDSCS",0
"92","DfID",2013,"All grades","Disabled",60,1810,0.0331491712707182,0.0331491712707182,FALSE,"DfIDAll grades",0.0331491712707182
"93","DfID",2009,"SCS","Disabled",0,100,0,0.0331491712707182,FALSE,"DfIDSCS",0
"94","DfID",2012,"All grades","Disabled",70,1710,0.0409356725146199,0.0331491712707182,FALSE,"DfIDAll grades",0.0409356725146199
"95","DfID",2009,"All grades","Disabled",60,1660,0.036144578313253,0.0331491712707182,FALSE,"DfIDAll grades",0.036144578313253
"96","DfID",2010,"SCS","Disabled",0,90,0,0.0331491712707182,FALSE,"DfIDSCS",0
"97","DfT",2011,"All grades","Disabled",90,1700,0.0529411764705882,0.0567375886524823,FALSE,"DfTAll grades",0.0529411764705882
"98","DfT",2008,"SCS","Disabled",0,150,0,0.0567375886524823,FALSE,"DfTSCS",0
"99","DfT",2012,"SCS","Disabled",0,100,0,0.0567375886524823,FALSE,"DfTSCS",0
"100","DfT",2011,"SCS","Disabled",0,120,0,0.0567375886524823,FALSE,"DfTSCS",0
"101","DfT",2008,"All grades","Disabled",90,2010,0.0447761194029851,0.0567375886524823,FALSE,"DfTAll grades",0.0447761194029851
"102","DfT",2012,"All grades","Disabled",80,1450,0.0551724137931034,0.0567375886524823,FALSE,"DfTAll grades",0.0551724137931034
"103","DfT",2009,"SCS","Disabled",0,130,0,0.0567375886524823,FALSE,"DfTSCS",0
"104","DfT",2013,"SCS","Disabled",0,100,0,0.0567375886524823,FALSE,"DfTSCS",0
"105","DfT",2010,"All grades","Disabled",100,1940,0.0515463917525773,0.0567375886524823,FALSE,"DfTAll grades",0.0515463917525773
"106","DfT",2009,"All grades","Disabled",90,1860,0.0483870967741935,0.0567375886524823,FALSE,"DfTAll grades",0.0483870967741935
"107","DfT",2013,"All grades","Disabled",80,1410,0.0567375886524823,0.0567375886524823,FALSE,"DfTAll grades",0.0567375886524823
"108","DfT",2010,"SCS","Disabled",0,140,0,0.0567375886524823,FALSE,"DfTSCS",0
"109","DH",2011,"All grades","Disabled",180,2540,0.0708661417322835,0.0648148148148148,FALSE,"DHAll grades",0.0708661417322835
"110","DH",2012,"SCS","Disabled",10,210,0.0476190476190476,0.0648148148148148,FALSE,"DHSCS",0.0476190476190476
"111","DH",2009,"SCS","Disabled",10,240,0.0416666666666667,0.0648148148148148,FALSE,"DHSCS",0.0416666666666667
"112","DH",2012,"All grades","Disabled",150,2250,0.0666666666666667,0.0648148148148148,FALSE,"DHAll grades",0.0666666666666667
"113","DH",2008,"SCS","Disabled",20,250,0.08,0.0648148148148148,FALSE,"DHSCS",0.08
"114","DH",2009,"All grades","Disabled",150,2190,0.0684931506849315,0.0648148148148148,FALSE,"DHAll grades",0.0684931506849315
"115","DH",2013,"SCS","Disabled",10,200,0.05,0.0648148148148148,FALSE,"DHSCS",0.05
"116","DH",2010,"All grades","Disabled",180,2540,0.0708661417322835,0.0648148148148148,FALSE,"DHAll grades",0.0708661417322835
"117","DH",2008,"All grades","Disabled",150,2110,0.0710900473933649,0.0648148148148148,FALSE,"DHAll grades",0.0710900473933649
"118","DH",2010,"SCS","Disabled",10,270,0.037037037037037,0.0648148148148148,FALSE,"DHSCS",0.037037037037037
"119","DH",2013,"All grades","Disabled",140,2160,0.0648148148148148,0.0648148148148148,FALSE,"DHAll grades",0.0648148148148148
