"","Group","Date","Civil.Service.grad","gradeval","share","Gender","count","total","grp","gradescore","meangradescore","sorter","totalgroup","yvar"
"83","DfT",2010,"SEO/HEO",3,-0.197247706422018,"Total",-3870,19620,"DfT2010",0.591743119266055,0.398470948012232,0.398470948012232,FALSE,-0.197247706422018
"84","DfT",2010,"SCS",5,-0.0117227319062181,"Total",-230,19620,"DfT2010",0.0586136595310907,0.398470948012232,0.398470948012232,FALSE,-0.0117227319062181
"85","DfT",2010,"AO/AA",1,-0.393985728848114,"Total",-7730,19620,"DfT2010",0.393985728848114,0.398470948012232,0.398470948012232,FALSE,-0.393985728848114
"86","DfT",2013,"SEO/HEO",3,0.208612975391499,"Total",3730,17880,"DfT2013",0.625838926174497,0.38993288590604,0.38993288590604,FALSE,0.208612975391499
"87","DfT",2013,"SCS",5,0.0111856823266219,"Total",200,17880,"DfT2013",0.0559284116331096,0.38993288590604,0.38993288590604,FALSE,0.0111856823266219
"88","DfT",2013,"G6/G7",4,0.0782997762863535,"Total",1400,17880,"DfT2013",0.313199105145414,0.38993288590604,0.38993288590604,FALSE,0.0782997762863535
"89","DfT",2013,"EO",2,0.252237136465324,"Total",4510,17880,"DfT2013",0.504474272930649,0.38993288590604,0.38993288590604,FALSE,0.252237136465324
"90","DfT",2013,"AO/AA",1,0.450223713646532,"Total",8050,17880,"DfT2013",0.450223713646532,0.38993288590604,0.38993288590604,FALSE,0.450223713646532
"91","DH",2010,"G6/G7",4,-0.237924865831843,"Total",-1330,5590,"DH2010",0.95169946332737,0.589624329159213,0.589624329159213,FALSE,-0.237924865831843
"92","DH",2010,"SCS",5,-0.0787119856887299,"Total",-440,5590,"DH2010",0.393559928443649,0.589624329159213,0.589624329159213,FALSE,-0.0787119856887299
"93","DH",2010,"SEO/HEO",3,-0.318425760286225,"Total",-1780,5590,"DH2010",0.955277280858676,0.589624329159213,0.589624329159213,FALSE,-0.318425760286225
"94","DH",2010,"EO",2,-0.27906976744186,"Total",-1560,5590,"DH2010",0.558139534883721,0.589624329159213,0.589624329159213,FALSE,-0.27906976744186
"95","DH",2010,"AO/AA",1,-0.0894454382826476,"Total",-500,5590,"DH2010",0.0894454382826476,0.589624329159213,0.589624329159213,FALSE,-0.0894454382826476
"96","DH",2013,"SCS",5,0.0798226164079823,"Total",360,4510,"DH2013",0.399113082039911,0.609312638580931,0.609312638580931,FALSE,0.0798226164079823
"97","DH",2013,"SEO/HEO",3,0.334811529933481,"Total",1510,4510,"DH2013",1.00443458980044,0.609312638580931,0.609312638580931,FALSE,0.334811529933481
"98","DH",2013,"AO/AA",1,0.0509977827050998,"Total",230,4510,"DH2013",0.0509977827050998,0.609312638580931,0.609312638580931,FALSE,0.0509977827050998
"99","DH",2013,"EO",2,0.277161862527716,"Total",1250,4510,"DH2013",0.554323725055432,0.609312638580931,0.609312638580931,FALSE,0.277161862527716
"100","DH",2013,"G6/G7",4,0.259423503325942,"Total",1170,4510,"DH2013",1.03769401330377,0.609312638580931,0.609312638580931,FALSE,0.259423503325942
"101","DWP",2010,"SEO/HEO",3,-0.113615937687238,"Total",-15170,133520,"DWP2010",0.340847813061714,0.337582384661474,0.337582384661474,FALSE,-0.113615937687238
"102","DWP",2010,"G6/G7",4,-0.0268873576992211,"Total",-3590,133520,"DWP2010",0.107549430796884,0.337582384661474,0.337582384661474,FALSE,-0.0268873576992211
"103","DWP",2010,"SCS",5,-0.00299580587177951,"Total",-400,133520,"DWP2010",0.0149790293588975,0.337582384661474,0.337582384661474,FALSE,-0.00299580587177951
"104","DWP",2010,"EO",2,-0.368109646494907,"Total",-49150,133520,"DWP2010",0.736219292989814,0.337582384661474,0.337582384661474,FALSE,-0.368109646494907
"105","DWP",2010,"AO/AA",1,-0.48831635710006,"Total",-65200,133520,"DWP2010",0.48831635710006,0.337582384661474,0.337582384661474,FALSE,-0.48831635710006
"106","DWP",2013,"AO/AA",1,0.470034167513159,"Total",50900,108290,"DWP2013",0.470034167513159,0.340382306768861,0.340382306768861,FALSE,0.470034167513159
"107","DWP",2013,"G6/G7",4,0.0262258749653708,"Total",2840,108290,"DWP2013",0.104903499861483,0.340382306768861,0.340382306768861,FALSE,0.0262258749653708
"108","DWP",2013,"SCS",5,0.00258564964447317,"Total",280,108290,"DWP2013",0.0129282482223659,0.340382306768861,0.340382306768861,FALSE,0.00258564964447317
"109","DWP",2013,"SEO/HEO",3,0.111737002493305,"Total",12100,108290,"DWP2013",0.335211007479915,0.340382306768861,0.340382306768861,FALSE,0.111737002493305
"110","DWP",2013,"EO",2,0.389417305383692,"Total",42170,108290,"DWP2013",0.778834610767384,0.340382306768861,0.340382306768861,FALSE,0.389417305383692
"111","FCO",2010,"EO",2,-0.299245599329422,"Total",-3570,11930,"FCO2010",0.598491198658843,0.50896898575021,0.50896898575021,FALSE,-0.299245599329422
"112","FCO",2010,"G6/G7",4,-0.129924559932942,"Total",-1550,11930,"FCO2010",0.519698239731769,0.50896898575021,0.50896898575021,FALSE,-0.129924559932942
"113","FCO",2010,"AO/AA",1,-0.162615255658005,"Total",-1940,11930,"FCO2010",0.162615255658005,0.50896898575021,0.50896898575021,FALSE,-0.162615255658005
"114","FCO",2010,"SEO/HEO",3,-0.36127409891031,"Total",-4310,11930,"FCO2010",1.08382229673093,0.50896898575021,0.50896898575021,FALSE,-0.36127409891031
"115","FCO",2010,"SCS",5,-0.0360435875943001,"Total",-430,11930,"FCO2010",0.1802179379715,0.50896898575021,0.50896898575021,FALSE,-0.0360435875943001
"116","FCO",2013,"AO/AA",1,0.139679715302491,"Total",1570,11240,"FCO2013",0.139679715302491,0.537188612099644,0.537188612099644,FALSE,0.139679715302491
"117","FCO",2013,"EO",2,0.266014234875445,"Total",2990,11240,"FCO2013",0.53202846975089,0.537188612099644,0.537188612099644,FALSE,0.266014234875445
"118","FCO",2013,"SEO/HEO",3,0.397686832740214,"Total",4470,11240,"FCO2013",1.19306049822064,0.537188612099644,0.537188612099644,FALSE,0.397686832740214
"119","FCO",2013,"G6/G7",4,0.153024911032028,"Total",1720,11240,"FCO2013",0.612099644128114,0.537188612099644,0.537188612099644,FALSE,0.153024911032028
"120","FCO",2013,"SCS",5,0.0418149466192171,"Total",470,11240,"FCO2013",0.209074733096085,0.537188612099644,0.537188612099644,FALSE,0.0418149466192171
