"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","totalgroup","yvar"
"189","MoD",2012,"SCS","Female",50,280,0.178571428571429,"MoDSCS",0.345140314852841,FALSE,0.178571428571429
"190","MoD",2012,"All grades","Female",21680,62920,0.344564526382708,"MoDAll grades",0.345140314852841,FALSE,0.344564526382708
"191","MoD",2013,"SCS","Female",60,260,0.230769230769231,"MoDSCS",0.345140314852841,FALSE,0.230769230769231
"192","MoD",2013,"All grades","Female",20170,58440,0.345140314852841,"MoDAll grades",0.345140314852841,FALSE,0.345140314852841
"193","MoJ",2008,"SCS","Female",120,310,0.387096774193548,"MoJSCS",0.472976963969285,FALSE,0.387096774193548
"194","MoJ",2008,"All grades","Female",42990,88570,0.4853787964322,"MoJAll grades",0.472976963969285,FALSE,0.4853787964322
"195","MoJ",2009,"SCS","Female",110,300,0.366666666666667,"MoJSCS",0.472976963969285,FALSE,0.366666666666667
"196","MoJ",2009,"All grades","Female",43210,89040,0.485287511230907,"MoJAll grades",0.472976963969285,FALSE,0.485287511230907
"197","MoJ",2010,"SCS","Female",110,300,0.366666666666667,"MoJSCS",0.472976963969285,FALSE,0.366666666666667
"198","MoJ",2010,"All grades","Female",41100,85550,0.48042080654588,"MoJAll grades",0.472976963969285,FALSE,0.48042080654588
"199","MoJ",2011,"SCS","Female",90,280,0.321428571428571,"MoJSCS",0.472976963969285,FALSE,0.321428571428571
"200","MoJ",2011,"All grades","Female",40050,83420,0.480100695276912,"MoJAll grades",0.472976963969285,FALSE,0.480100695276912
"201","MoJ",2012,"SCS","Female",70,210,0.333333333333333,"MoJSCS",0.472976963969285,FALSE,0.333333333333333
"202","MoJ",2012,"All grades","Female",33960,71850,0.472651356993737,"MoJAll grades",0.472976963969285,FALSE,0.472651356993737
"203","MoJ",2013,"SCS","Female",70,200,0.35,"MoJSCS",0.472976963969285,FALSE,0.35
"204","MoJ",2013,"All grades","Female",32030,67720,0.472976963969285,"MoJAll grades",0.472976963969285,FALSE,0.472976963969285
"205","Whole Civil Service",2008,"SCS","Female",1520,4790,0.317327766179541,"Whole Civil ServiceSCS",0.531436592104091,TRUE,0.317327766179541
"206","Whole Civil Service",2008,"All grades","Female",277830,525160,0.529038769137025,"Whole Civil ServiceAll grades",0.531436592104091,TRUE,0.529038769137025
"207","Whole Civil Service",2009,"SCS","Female",1620,4920,0.329268292682927,"Whole Civil ServiceSCS",0.531436592104091,TRUE,0.329268292682927
"208","Whole Civil Service",2009,"All grades","Female",278060,524420,0.530223866366653,"Whole Civil ServiceAll grades",0.531436592104091,TRUE,0.530223866366653
"209","Whole Civil Service",2010,"SCS","Female",1730,5070,0.341222879684418,"Whole Civil ServiceSCS",0.531436592104091,TRUE,0.341222879684418
"210","Whole Civil Service",2010,"All grades","Female",279820,527480,0.530484568135285,"Whole Civil ServiceAll grades",0.531436592104091,TRUE,0.530484568135285
"211","Whole Civil Service",2011,"SCS","Female",1600,4610,0.3470715835141,"Whole Civil ServiceSCS",0.531436592104091,TRUE,0.3470715835141
"212","Whole Civil Service",2011,"All grades","Female",264110,498430,0.529883835242662,"Whole Civil ServiceAll grades",0.531436592104091,TRUE,0.529883835242662
"213","Whole Civil Service",2012,"SCS","Female",1550,4420,0.350678733031674,"Whole Civil ServiceSCS",0.531436592104091,TRUE,0.350678733031674
"214","Whole Civil Service",2012,"All grades","Female",246100,463810,0.530605204717449,"Whole Civil ServiceAll grades",0.531436592104091,TRUE,0.530605204717449
"215","Whole Civil Service",2013,"SCS","Female",1570,4340,0.361751152073733,"Whole Civil ServiceSCS",0.531436592104091,TRUE,0.361751152073733
"216","Whole Civil Service",2013,"All grades","Female",238530,448840,0.531436592104091,"Whole Civil ServiceAll grades",0.531436592104091,TRUE,0.531436592104091
