"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"19","BIS",2012,"All grades","Male",8930,17940,0.497770345596433,"BISAll grades",0.501922020867655,0,FALSE,0.497770345596433
"22","BIS",2013,"SCS","Male",230,390,0.58974358974359,"BISSCS",0.501922020867655,0,FALSE,0.58974358974359
"24","BIS",2013,"All grades","Male",9070,18210,0.498077979132345,"BISAll grades",0.501922020867655,0,FALSE,0.498077979132345
"25","CO",2008,"SCS","Male",140,230,0.608695652173913,"COSCS",0.494339622641509,0,FALSE,0.608695652173913
"27","CO",2008,"All grades","Male",1450,3110,0.466237942122186,"COAll grades",0.494339622641509,0,FALSE,0.466237942122186
"29","CO",2009,"SCS","Male",140,240,0.583333333333333,"COSCS",0.494339622641509,0,FALSE,0.583333333333333
"31","CO",2009,"All grades","Male",1470,3280,0.448170731707317,"COAll grades",0.494339622641509,0,FALSE,0.448170731707317
"33","CO",2010,"SCS","Male",160,270,0.592592592592593,"COSCS",0.494339622641509,0,FALSE,0.592592592592593
"35","CO",2010,"All grades","Male",1480,3290,0.449848024316109,"COAll grades",0.494339622641509,0,FALSE,0.449848024316109
"37","CO",2011,"SCS","Male",160,270,0.592592592592593,"COSCS",0.494339622641509,0,FALSE,0.592592592592593
"40","CO",2011,"All grades","Male",1400,3070,0.456026058631922,"COAll grades",0.494339622641509,0,FALSE,0.456026058631922
"41","CO",2012,"SCS","Male",160,250,0.64,"COSCS",0.494339622641509,0,FALSE,0.64
"43","CO",2012,"All grades","Male",1340,2730,0.490842490842491,"COAll grades",0.494339622641509,0,FALSE,0.490842490842491
"46","CO",2013,"SCS","Male",130,220,0.590909090909091,"COSCS",0.494339622641509,0,FALSE,0.590909090909091
"48","CO",2013,"All grades","Male",1340,2650,0.505660377358491,"COAll grades",0.494339622641509,0,FALSE,0.505660377358491
"49","DCLG",2008,"SCS","Male",110,190,0.578947368421053,"DCLGSCS",0.48207171314741,0,FALSE,0.578947368421053
"51","DCLG",2008,"All grades","Male",3220,5550,0.58018018018018,"DCLGAll grades",0.48207171314741,0,FALSE,0.58018018018018
