Dept,Whitehall?,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,Change from baseline 2010 Q3 FTE,Change from baseline 2010 Q4 FTE,Change from baseline 2011 Q1 FTE,Change from baseline 2011 Q2 FTE,Change from baseline 2011 Q3 FTE,Change from baseline 2011 Q4 FTE,Change from baseline 2012 Q1 FTE,Change from baseline 2012 Q2 FTE,Change from baseline 2012 Q3 FTE,Change from baseline 2012 Q4 FTE,% Change from baseline 2010 Q3,% Change from baseline 2010 Q4,% Change from baseline 2011 Q1,% Change from baseline 2011 Q2,% Change from baseline 2011 Q3,% Change from baseline 2011 Q4,% Change from baseline 2012 Q1,% Change from baseline 2012 Q2,% Change from baseline 2012 Q3,% Change from baseline 2012 Q4,Product,Change Rate,FTE start,FTE end,FTE end calc,Diff,Dept group,Dept group 2,Stdev of rate
AGO,Total,0,-130,-80,-190,-210,-120,0,-60,-100,-100,-0.01420765,-0.00886918,-0.021252796,-0.024,-0.014051522,0,-0.007125891,-0.011961722,-0.012106538,0,-130,-210,-400,-610,-730,-730,-790,-890,-990,0,-0.01420765,-0.02295082,-0.043715847,-0.066666667,-0.079781421,-0.079781421,-0.086338798,-0.09726776,-0.108196721,0.891803279,-0.012642702,9150,8160,8160,0,Other,Other,0.007183442
BIS,Total,0,-600,-100,-720,-330,-280,-330,110,-80,120,-0.049099836,-0.008605852,-0.0625,-0.030555556,-0.026743075,-0.032384691,0.011156187,-0.008024072,0.012133468,0,-600,-700,-1420,-1750,-2030,-2360,-2250,-2330,-2210,0,-0.049099836,-0.057283142,-0.116202946,-0.143207856,-0.166121113,-0.193126023,-0.184124386,-0.190671031,-0.180851064,0.819148936,-0.021921635,12220,10010,10010,0,Policy,Policy,0.025534478
CO,Total,0,-360,10,-140,-100,-20,-30,-320,0,60,-0.104347826,0.003236246,-0.04516129,-0.033783784,-0.006993007,-0.01056338,-0.113879004,0,0.024096386,0,-360,-350,-490,-590,-610,-640,-960,-960,-900,0,-0.104347826,-0.101449275,-0.142028986,-0.171014493,-0.176811594,-0.185507246,-0.27826087,-0.27826087,-0.260869565,0.739130435,-0.03302899,3450,2550,2550,0,Centre,Centre,0.048233826
DCLG,Total,0,-90,-320,-270,80,-250,-60,-100,-40,-10,-0.019522777,-0.07079646,-0.064285714,0.020356234,-0.06234414,-0.015957447,-0.027027027,-0.011111111,-0.002808989,0,-90,-410,-680,-600,-850,-910,-1010,-1050,-1060,0,-0.019522777,-0.088937093,-0.147505423,-0.130151844,-0.184381779,-0.197396963,-0.219088937,-0.227765727,-0.229934924,0.770065076,-0.028613784,4610,3550,3550,0,Policy,Policy,0.031231877
DCMS,Total,0,10,-10,40,-40,0,0,10,70,-140,0.01754386,-0.017241379,0.070175439,-0.06557377,0,0,0.01754386,0.120689655,-0.215384615,0,10,0,40,0,0,0,10,80,-60,0,0.01754386,0,0.070175439,0,0,0,0.01754386,0.140350877,-0.105263158,0.894736842,-0.012282352,570,510,510,0,Policy,Policy,0.093884183
DECC,Total,0,10,20,20,20,40,60,30,50,20,0.008928571,0.017699115,0.017391304,0.017094017,0.033613445,0.048780488,0.023255814,0.037878788,0.01459854,0,10,30,50,70,110,170,200,250,270,0,0.008928571,0.026785714,0.044642857,0.0625,0.098214286,0.151785714,0.178571429,0.223214286,0.241071429,1.241071429,0.02428748,1120,1390,1390,0,Policy,Policy,0.012966799
DEFRA,Total,0,-180,-70,-200,-550,-140,-30,-140,-120,-20,-0.01863354,-0.007383966,-0.021253985,-0.059717698,-0.016166282,-0.003521127,-0.016489988,-0.014371257,-0.002430134,0,-180,-250,-450,-1000,-1140,-1170,-1310,-1430,-1450,0,-0.01863354,-0.025879917,-0.046583851,-0.103519669,-0.118012422,-0.121118012,-0.135610766,-0.148033126,-0.15010352,0.84989648,-0.017908887,9660,8210,8210,0,Policy,Policy,0.017082398
DfE,Total,0,-100,-90,-180,-20,170,10,1120,-170,-70,-0.022371365,-0.020594966,-0.042056075,-0.004878049,0.041666667,0.002352941,0.262910798,-0.031598513,-0.013435701,0,-100,-190,-370,-390,-220,-210,910,740,670,0,-0.022371365,-0.042505593,-0.082774049,-0.087248322,-0.049217002,-0.046979866,0.203579418,0.165548098,0.149888143,1.149888143,0.015639331,4470,5140,5140,0,Policy,Policy,0.094520441
DfID,Total,0,-20,-10,-10,0,60,30,40,20,20,-0.0125,-0.006329114,-0.006369427,0,0.038461538,0.018518519,0.024242424,0.01183432,0.011695906,0,-20,-30,-40,-40,20,50,90,110,130,0,-0.0125,-0.01875,-0.025,-0.025,0.0125,0.03125,0.05625,0.06875,0.08125,1.08125,0.008717532,1600,1730,1730,0,Foreign facing,Foreign facing,0.016659967
DfT,Total,0,-250,-480,-290,-210,-140,-110,-80,-70,0,-0.013586957,-0.026446281,-0.016411998,-0.012082854,-0.008153757,-0.00645919,-0.004728132,-0.00415677,0,0,-250,-730,-1020,-1230,-1370,-1480,-1560,-1630,-1630,0,-0.013586957,-0.039673913,-0.055434783,-0.066847826,-0.074456522,-0.080434783,-0.084782609,-0.088586957,-0.088586957,0.911413043,-0.010253635,18400,16770,16770,0,Policy,Policy,0.007954749
