Month,Short Form,IfG classification,Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,IFG notes,IfG analysis - Non-consultant total,Non payroll,Non payroll component total
01/07/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,13,12.4,8,8,24,23.3,41,37.9,9,9,,,95,91,4,4,,,,,,,4,4,99,95,359334.04,6271.18,0,11690.72,71592.59,34422.81,483311.34,15769.08,,15769.08,499080.42,,,4,,
01/08/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,14,13.4,8,8,24,23.3,41,37.9,9,9,,,96,92,3,3,,,,,,,3,3,99,95,350991.54,12696.22,2444.58,5425.2,70942.68,33125.57,475625.79,6630.75,,6630.75,482256.54,,,3,,
01/09/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,14,13.4,6,6,25,24.3,40,36.9,9,9,,,94,90,3,3,,,,,,,3,3,97,93,310695.04,6101.44,0,3355.24,62727.41,29077.62,411956.75,6186.87,,6186.87,418143.62,,,3,,
01/03/2011,MOJ,Non CS,Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,80,74.03,80,74.03,2,2,0,0,0,0,0,0,2,2,82,76.03,211350.0833,44.75,0,1991.25,39768.41667,16774.83333,269929.3333,5614.25,0,5614.25,275543.5833,"This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles.","Baseline figures, pay costs appear to be annual so have been divided by 12 to give monthly average",2,,
01/03/2011,MOJ,Non CS,Criminal Injuries Compensation Authority,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shown in HQ figures.,"Baseline figures, pay costs appear to be annual so have been divided by 12 to give monthly average",0,,
01/03/2011,MOJ,Non-Whitehall CS,HM Courts Service,Executive Agency,Ministry of Justice,12259,10618.96,3498,3258.9,2991,2774.17,756,740.91,37,37,0,0,19541,17429.94,270,270,0,0,0,0,0,0,270,270,19811,17699.94,34418365.06,550058.9258,192462.8733,360429.8483,6047544.354,2379302.763,43948163.82,966764.3375,26199.26417,992963.6017,44941127.42,,"Baseline figures, pay costs appear to be annual so have been divided by 12 to give monthly average",270,,
01/03/2011,MOJ,Non CS,Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,353,328.49,353,328.49,4,3.54,0,0,0,0,1,0.01,5,3.55,358,332.04,707455.75,1847.916667,1630.25,6146.166667,129544.0833,46385,893009.1667,13008.75,1087.333333,14096.08333,907105.25,,"Baseline figures, pay costs appear to be annual so have been divided by 12 to give monthly average",3.54,,
01/03/2011,MOJ,Non CS,Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,11,11,19,18.2,28,27.6,15,14.4,4,4,1,0.6,78,75.8,0,0,0,0,0,0,0,0,0,0,78,75.8,274265.9167,3146.166667,2425,661.3333333,50338.91667,21315.66667,352153,0,0,0,352153,,"Baseline figures, pay costs appear to be annual so have been divided by 12 to give monthly average",0,,
01/03/2011,MOJ,Non CS,Land Registry,Non-Ministerial Department,Ministry of Justice,366,322.16,2669,2340.42,2140,1985.27,200,189.11,24,23.41,0,0,5399,4860.37,0,0,4,3,0,0,0,0,4,3,5403,4863.37,11918622.23,297373.3383,81243.80083,44111.13917,2334312.904,895113.7058,15570777.12,75308.29333,57430.79333,75308.29333,15646085.41,,"Baseline figures, pay costs appear to be annual so have been divided by 12 to give monthly average",3,,
01/03/2011,MOJ,Non CS,Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,33,32.7,33,32.7,0,0,0,0,0,0,0,0,0,0,33,32.7,156103.9167,0,0,0,28565.58333,18014.66667,202684.1667,0,0,0,202684.1667,"LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision","Baseline figures, pay costs appear to be annual so have been divided by 12 to give monthly average",0,,
