Dept group,Organisation,Dept IfG,Whitehall,Managed,Year,Communications and Marketing,Economics,Engineering,Finance,Human Resources,Information Technology,Inspector of Education and Training,Internal Audit,Knowledge and Information Management,Law,Medicine,Operational Delivery,Operational Research,Planning,Policy Delivery,Procurement and Contract Management,Programme and Project Management,Property Asset Management,Psychology,Science,Social and Market Research,Statistics,Tax Professionals,Veterinarian,Other,Not Reported,Total
Chancellor's other departments,Office of Government Commerce,HMT,Non-Whitehall,No,2010,10,0,0,10,0,10,0,0,0,0,0,40,0,0,190,30,0,0,0,0,0,0,0,0,..,0,290
Chancellor's other departments,OGC Buying Solutions,HMT,Non-Whitehall,No,2010,40,0,0,20,20,30,0,..,0,..,0,10,..,10,..,210,20,0,0,0,..,0,0,0,10,0,380
Chancellor's other departments,Royal Mint,HMT,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
UK Statistics Authority,UK Statistics Authority,CO,Non-Whitehall,No,2010,40,10,0,40,50,200,0,0,0,0,0,2350,0,0,0,20,60,0,0,0,170,390,0,0,10,0,3350
HM Revenue and Customs,Valuation Office,HMRC,Non-Whitehall,Yes,2010,20,0,0,30,50,80,40,..,0,0,0,3540,0,30,110,20,10,0,0,0,..,..,0,0,20,0,3940
Home Office,Criminal Records Bureau,HO,Non-Whitehall,No,2010,0,0,0,..,..,..,0,0,0,0,0,10,0,0,0,..,..,..,0,0,0,0,0,0,610,0,620
Home Office,Home Office (excl agencies),HO,Non-Whitehall,Yes,2010,110,10,0,100,220,90,0,20,30,30,..,220,20,0,250,40,100,30,..,70,30,30,0,10,1760,0,3170
Home Office,Identity and Passport Service,HO,Non-Whitehall,No,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,3940,0,3940
Home Office,UK Border Agency,HO,Non-Whitehall,Yes,2010,220,30,0,200,330,190,0,40,90,220,10,3820,120,0,320,110,370,60,..,20,30,60,0,20,11230,0,17480
Home Office,National Fraud Authority,HO,Non-Whitehall,No,2010,..,0,0,..,..,0,0,0,0,0,0,30,0,0,..,0,10,0,0,0,0,0,0,0,0,..,50
