Dept,Whitehall?,Raw 2010 Q3 FTE,Raw 2010 Q4 FTE,Raw 2011 Q1 FTE,Raw 2011 Q2 FTE,Raw 2011 Q3 FTE,Raw 2011 Q4 FTE,Raw 2012 Q1 FTE,Raw 2012 Q2 FTE,Raw 2012 Q3 FTE,Raw 2012 Q4 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,perc Change 2010 Q3 FTE,perc Change 2010 Q4 FTE,perc Change 2011 Q1 FTE,perc Change 2011 Q2 FTE,perc Change 2011 Q3 FTE,perc Change 2011 Q4 FTE,perc Change 2012 Q1 FTE,perc Change 2012 Q2 FTE,perc Change 2012 Q3 FTE,perc Change 2012 Q4 FTE,Product,Number of periods,Change Rate,Cumulative endogenous change,Cumulative perc cut,Check total change,Dept group,Dept group alt,Cumulative abs endog change to 2010 Q3,Cumulative abs endog change to 2010 Q4,Cumulative abs endog change to 2011 Q1,Cumulative abs endog change to 2011 Q2,Cumulative abs endog change to 2011 Q3,Cumulative abs endog change to 2011 Q4,Cumulative abs endog change to 2012 Q1,Cumulative abs endog change to 2012 Q2,Cumulative abs endog change to 2012 Q3,Cumulative abs endog change to 2012 Q4,Cumulative perc endog change to 2010 Q3,Cumulative perc endog change to 2010 Q4,Cumulative perc endog change to 2011 Q1,Cumulative perc endog change to 2011 Q2,Cumulative perc endog change to 2011 Q3,Cumulative perc endog change to 2011 Q4,Cumulative perc endog change to 2012 Q1,Cumulative perc endog change to 2012 Q2,Cumulative perc endog change to 2012 Q3,Cumulative perc endog change to 2012 Q4,Check cumulative change
DfID,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,0,,,Foreign facing,Foreign facing,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
DfT,Non-Whitehall Civil Service,16330,16120,15810,15600,15460,15370,15290,15200,15110,15070,0,0,0,0,0,0,0,0,0,0,0,-210,-310,-210,-140,-90,-80,-90,-90,-40,0,-0.012859767,-0.019230769,-0.013282732,-0.008974359,-0.005821475,-0.005204945,-0.0058862,-0.005921053,-0.002647253,0.922841396,9,-0.008882305,-1260,-0.077158604,OK,Policy,Policy,0,-210,-520,-730,-870,-960,-1040,-1130,-1220,-1260,0,-0.012859767,-0.031843233,-0.044703001,-0.053276179,-0.058787508,-0.063686467,-0.069197795,-0.074709124,-0.077158604,OK
DH,Non-Whitehall Civil Service,2570,2520,2460,2460,2240,2210,2180,2180,2190,2180,0,0,0,0,0,0,0,0,0,0,0,-50,-60,0,-220,-30,-30,0,10,-10,0,-0.019455253,-0.023809524,0,-0.089430894,-0.013392857,-0.013574661,0,0.004587156,-0.00456621,0.848249027,9,-0.018120592,-390,-0.151750973,OK,Policy,Policy,0,-50,-110,-110,-330,-360,-390,-390,-380,-390,0,-0.019455253,-0.042801556,-0.042801556,-0.128404669,-0.140077821,-0.151750973,-0.151750973,-0.147859922,-0.151750973,OK
DWP,Non-Whitehall Civil Service,115430,112320,109590,105700,102380,101100,99800,98210,98450,97290,0,0,0,0,0,0,0,0,0,0,0,-3110,-2730,-3890,-3320,-1280,-1300,-1590,240,-1160,0,-0.026942736,-0.024305556,-0.035495939,-0.03140965,-0.012502442,-0.012858556,-0.015931864,0.002443743,-0.011782631,0.84284848,9,-0.018817157,-18140,-0.15715152,OK,Delivery,Delivery,0,-3110,-5840,-9730,-13050,-14330,-15630,-17220,-16980,-18140,0,-0.026942736,-0.050593433,-0.084293511,-0.113055531,-0.124144503,-0.13540674,-0.149181322,-0.14710214,-0.15715152,OK
FCO,Non-Whitehall Civil Service,5660,5630,5370,5350,5310,5290,5290,5260,5270,5300,0,0,0,0,0,0,0,0,0,0,0,-30,-260,-20,-40,-20,0,-30,10,30,0,-0.005300353,-0.046181172,-0.003724395,-0.007476636,-0.003766478,0,-0.005671078,0.001901141,0.0056926,0.93639576,9,-0.007275303,-360,-0.06360424,OK,Foreign facing,Foreign facing,0,-30,-290,-310,-350,-370,-370,-400,-390,-360,0,-0.005300353,-0.051236749,-0.054770318,-0.061837456,-0.065371025,-0.065371025,-0.070671378,-0.068904594,-0.06360424,OK
GEO,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,0,,,Other,Other,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
HMRC,Non-Whitehall Civil Service,71320,70540,70610,71180,70570,70440,69940,69160,68170,67880,0,0,0,0,0,0,0,0,0,0,0,-780,70,570,-610,-130,-500,-780,-990,-290,0,-0.010936624,0.000992345,0.008072511,-0.008569823,-0.001842143,-0.00709824,-0.011152416,-0.014314633,-0.004254071,0.951766685,9,-0.005477759,-3440,-0.048233315,OK,Delivery,Delivery,0,-780,-710,-140,-750,-880,-1380,-2160,-3150,-3440,0,-0.010936624,-0.009955132,-0.001962984,-0.010515984,-0.012338755,-0.019349411,-0.030286035,-0.044167134,-0.048233315,OK
HMT,Non-Whitehall Civil Service,3640,3570,3620,3530,3490,3430,3400,3360,3380,3340,0,0,0,0,0,0,0,0,0,0,0,-70,50,-90,-40,-60,-30,-40,20,-40,0,-0.019230769,0.014005602,-0.024861878,-0.011331445,-0.017191977,-0.008746356,-0.011764706,0.005952381,-0.01183432,0.917582418,9,-0.009511463,-300,-0.082417582,OK,Centre,Centre,0,-70,-20,-110,-150,-210,-240,-280,-260,-300,0,-0.019230769,-0.005494505,-0.03021978,-0.041208791,-0.057692308,-0.065934066,-0.076923077,-0.071428571,-0.082417582,OK
HO,Non-Whitehall Civil Service,29070,27910,27380,26310,25580,24850,24640,24520,24430,24630,0,0,0,150,0,0,0,0,0,40,0,-1160,-530,-1220,-730,-730,-210,-120,-90,160,0,-0.039903681,-0.018989609,-0.044558072,-0.027746104,-0.02853792,-0.008450704,-0.00487013,-0.003670473,0.006549325,0.841066603,9,-0.019047856,-4630,-0.158933397,OK,Delivery,Delivery,0,-1160,-1690,-2910,-3640,-4370,-4580,-4700,-4790,-4630,0,-0.039903681,-0.058135535,-0.100103199,-0.12507183,-0.15004046,-0.157223217,-0.161327649,-0.164405973,-0.158933397,OK
MoD,Non-Whitehall Civil Service,73590,73130,72080,70680,68000,64590,61330,59640,58760,57350,0,0,0,0,-1760,0,0,0,0,0,0,-460,-1050,-1400,-920,-3410,-3260,-1690,-880,-1410,0,-0.006250849,-0.014357993,-0.019422863,-0.013016412,-0.050147059,-0.050472209,-0.027555845,-0.014755198,-0.023995916,0.799488422,9,-0.02455822,-14480,-0.200511578,OK,Delivery,Delivery,0,-460,-1510,-2910,-3830,-7240,-10500,-12190,-13070,-14480,0,-0.006250849,-0.020519092,-0.039543416,-0.052045115,-0.099582264,-0.145028337,-0.168587804,-0.180855455,-0.200511578,OK
