"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","yvar"
"51","Defra",2008,"SCS","Female",60,200,0.3,"DefraSCS",0.533259423503326,0.3
"52","Defra",2008,"All grades","Female",6020,11530,0.522116218560278,"DefraAll grades",0.533259423503326,0.522116218560278
"53","Defra",2009,"SCS","Female",50,180,0.277777777777778,"DefraSCS",0.533259423503326,0.277777777777778
"54","Defra",2009,"All grades","Female",5840,11090,0.526600541027953,"DefraAll grades",0.533259423503326,0.526600541027953
"55","Defra",2010,"SCS","Female",50,190,0.263157894736842,"DefraSCS",0.533259423503326,0.263157894736842
"56","Defra",2010,"All grades","Female",5860,10980,0.533697632058288,"DefraAll grades",0.533259423503326,0.533697632058288
"57","Defra",2011,"SCS","Female",50,170,0.294117647058824,"DefraSCS",0.533259423503326,0.294117647058824
"58","Defra",2011,"All grades","Female",5330,9980,0.534068136272545,"DefraAll grades",0.533259423503326,0.534068136272545
"59","Defra",2012,"SCS","Female",30,140,0.214285714285714,"DefraSCS",0.533259423503326,0.214285714285714
"60","Defra",2012,"All grades","Female",4810,9020,0.533259423503326,"DefraAll grades",0.533259423503326,0.533259423503326
"61","DfE",2008,"SCS","Female",90,180,0.5,"DfESCS",0.597802197802198,0.5
"62","DfE",2008,"All grades","Female",3790,5910,0.641285956006768,"DfEAll grades",0.597802197802198,0.641285956006768
"63","DfE",2009,"SCS","Female",110,180,0.611111111111111,"DfESCS",0.597802197802198,0.611111111111111
"64","DfE",2009,"All grades","Female",3670,5740,0.639372822299652,"DfEAll grades",0.597802197802198,0.639372822299652
"65","DfE",2010,"SCS","Female",100,190,0.526315789473684,"DfESCS",0.597802197802198,0.526315789473684
"66","DfE",2010,"All grades","Female",3380,5250,0.643809523809524,"DfEAll grades",0.597802197802198,0.643809523809524
"67","DfE",2011,"SCS","Female",100,180,0.555555555555556,"DfESCS",0.597802197802198,0.555555555555556
"68","DfE",2011,"All grades","Female",2750,4590,0.599128540305011,"DfEAll grades",0.597802197802198,0.599128540305011
"69","DfE",2012,"SCS","Female",80,190,0.421052631578947,"DfESCS",0.597802197802198,0.421052631578947
"70","DfE",2012,"All grades","Female",2720,4550,0.597802197802198,"DfEAll grades",0.597802197802198,0.597802197802198
"71","DfID",2008,"SCS","Female",40,100,0.4,"DfIDSCS",0.514619883040936,0.4
"72","DfID",2008,"All grades","Female",840,1670,0.502994011976048,"DfIDAll grades",0.514619883040936,0.502994011976048
"73","DfID",2009,"SCS","Female",30,100,0.3,"DfIDSCS",0.514619883040936,0.3
"74","DfID",2009,"All grades","Female",830,1660,0.5,"DfIDAll grades",0.514619883040936,0.5
"75","DfID",2010,"SCS","Female",30,100,0.3,"DfIDSCS",0.514619883040936,0.3
"76","DfID",2010,"All grades","Female",820,1620,0.506172839506173,"DfIDAll grades",0.514619883040936,0.506172839506173
"77","DfID",2011,"SCS","Female",30,80,0.375,"DfIDSCS",0.514619883040936,0.375
"78","DfID",2011,"All grades","Female",830,1610,0.515527950310559,"DfIDAll grades",0.514619883040936,0.515527950310559
"79","DfID",2012,"SCS","Female",30,80,0.375,"DfIDSCS",0.514619883040936,0.375
"80","DfID",2012,"All grades","Female",880,1710,0.514619883040936,"DfIDAll grades",0.514619883040936,0.514619883040936
"81","DfT",2008,"SCS","Female",60,200,0.3,"DfTSCS",0.418617614269788,0.3
"82","DfT",2008,"All grades","Female",8140,19450,0.418508997429306,"DfTAll grades",0.418617614269788,0.418508997429306
"83","DfT",2009,"SCS","Female",50,210,0.238095238095238,"DfTSCS",0.418617614269788,0.238095238095238
"84","DfT",2009,"All grades","Female",8130,19530,0.416282642089094,"DfTAll grades",0.418617614269788,0.416282642089094
"85","DfT",2010,"SCS","Female",50,230,0.217391304347826,"DfTSCS",0.418617614269788,0.217391304347826
"86","DfT",2010,"All grades","Female",8170,19620,0.416411824668705,"DfTAll grades",0.418617614269788,0.416411824668705
"87","DfT",2011,"SCS","Female",40,200,0.2,"DfTSCS",0.418617614269788,0.2
"88","DfT",2011,"All grades","Female",7740,18620,0.415682062298604,"DfTAll grades",0.418617614269788,0.415682062298604
"89","DfT",2012,"SCS","Female",60,200,0.3,"DfTSCS",0.418617614269788,0.3
"90","DfT",2012,"All grades","Female",7510,17940,0.418617614269788,"DfTAll grades",0.418617614269788,0.418617614269788
"91","DH",2008,"SCS","Female",160,400,0.4,"DHSCS",0.4880174291939,0.4
"92","DH",2008,"All grades","Female",2700,5650,0.47787610619469,"DHAll grades",0.4880174291939,0.47787610619469
"93","DH",2009,"SCS","Female",160,420,0.380952380952381,"DHSCS",0.4880174291939,0.380952380952381
"94","DH",2009,"All grades","Female",2730,5550,0.491891891891892,"DHAll grades",0.4880174291939,0.491891891891892
"95","DH",2010,"SCS","Female",180,440,0.409090909090909,"DHSCS",0.4880174291939,0.409090909090909
"96","DH",2010,"All grades","Female",2800,5590,0.500894454382826,"DHAll grades",0.4880174291939,0.500894454382826
"97","DH",2011,"SCS","Female",170,390,0.435897435897436,"DHSCS",0.4880174291939,0.435897435897436
"98","DH",2011,"All grades","Female",2610,5210,0.500959692898273,"DHAll grades",0.4880174291939,0.500959692898273
"99","DH",2012,"SCS","Female",160,360,0.444444444444444,"DHSCS",0.4880174291939,0.444444444444444
"100","DH",2012,"All grades","Female",2240,4590,0.4880174291939,"DHAll grades",0.4880174291939,0.4880174291939
"101","DWP",2008,"SCS","Female",130,360,0.361111111111111,"DWPSCS",0.676564722617354,0.361111111111111
"102","DWP",2008,"All grades","Female",79930,117570,0.679850301947776,"DWPAll grades",0.676564722617354,0.679850301947776
"103","DWP",2009,"SCS","Female",140,380,0.368421052631579,"DWPSCS",0.676564722617354,0.368421052631579
"104","DWP",2009,"All grades","Female",81690,121120,0.674455085865258,"DWPAll grades",0.676564722617354,0.674455085865258
"105","DWP",2010,"SCS","Female",140,400,0.35,"DWPSCS",0.676564722617354,0.35
"106","DWP",2010,"All grades","Female",88400,133520,0.662073097663271,"DWPAll grades",0.676564722617354,0.662073097663271
"107","DWP",2011,"SCS","Female",130,340,0.382352941176471,"DWPSCS",0.676564722617354,0.382352941176471
"108","DWP",2011,"All grades","Female",81910,122400,0.669199346405229,"DWPAll grades",0.676564722617354,0.669199346405229
"109","DWP",2012,"SCS","Female",110,290,0.379310344827586,"DWPSCS",0.676564722617354,0.379310344827586
"110","DWP",2012,"All grades","Female",76100,112480,0.676564722617354,"DWPAll grades",0.676564722617354,0.676564722617354
"111","FCO",2008,"SCS","Female",80,430,0.186046511627907,"FCOSCS",0.394366197183099,0.186046511627907
"112","FCO",2008,"All grades","Female",4360,11340,0.384479717813051,"FCOAll grades",0.394366197183099,0.384479717813051
"113","FCO",2009,"SCS","Female",90,420,0.214285714285714,"FCOSCS",0.394366197183099,0.214285714285714
"114","FCO",2009,"All grades","Female",4530,11850,0.382278481012658,"FCOAll grades",0.394366197183099,0.382278481012658
"115","FCO",2010,"SCS","Female",90,430,0.209302325581395,"FCOSCS",0.394366197183099,0.209302325581395
