"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"214","DWP",2011,"SCS","Male",230,360,0.638888888888889,"DWPSCS",0.676624877745177,0,FALSE,0.638888888888889
"215","DWP",2011,"All grades","Male",40500,122410,0.330855322277592,"DWPAll grades",0.676624877745177,0,FALSE,0.330855322277592
"217","DWP",2012,"SCS","Male",190,300,0.633333333333333,"DWPSCS",0.676624877745177,0,FALSE,0.633333333333333
"220","DWP",2012,"All grades","Male",36370,112470,0.323375122254824,"DWPAll grades",0.676624877745177,0,FALSE,0.323375122254824
"221","FCO",2008,"SCS","Male",320,390,0.82051282051282,"FCOSCS",0.428353658536585,0,FALSE,0.82051282051282
"223","FCO",2008,"All grades","Male",3520,5950,0.591596638655462,"FCOAll grades",0.428353658536585,0,FALSE,0.591596638655462
"225","FCO",2009,"SCS","Male",300,380,0.789473684210526,"FCOSCS",0.428353658536585,0,FALSE,0.789473684210526
"228","FCO",2009,"All grades","Male",3560,6090,0.584564860426929,"FCOAll grades",0.428353658536585,0,FALSE,0.584564860426929
"229","FCO",2010,"SCS","Male",300,380,0.789473684210526,"FCOSCS",0.428353658536585,0,FALSE,0.789473684210526
"231","FCO",2010,"All grades","Male",3570,6010,0.594009983361065,"FCOAll grades",0.428353658536585,0,FALSE,0.594009983361065
"234","FCO",2011,"SCS","Male",280,360,0.777777777777778,"FCOSCS",0.428353658536585,0,FALSE,0.777777777777778
"235","FCO",2011,"All grades","Male",3390,5750,0.589565217391304,"FCOAll grades",0.428353658536585,0,FALSE,0.589565217391304
"237","FCO",2012,"SCS","Male",350,450,0.777777777777778,"FCOSCS",0.428353658536585,0,FALSE,0.777777777777778
"240","FCO",2012,"All grades","Male",3750,6560,0.571646341463415,"FCOAll grades",0.428353658536585,0,FALSE,0.571646341463415
"241","HMRC",2008,"SCS","Male",300,410,0.731707317073171,"HMRCSCS",0.58001521683997,0,FALSE,0.731707317073171
"243","HMRC",2008,"All grades","Male",40630,95370,0.42602495543672,"HMRCAll grades",0.58001521683997,0,FALSE,0.42602495543672
"245","HMRC",2009,"SCS","Male",340,480,0.708333333333333,"HMRCSCS",0.58001521683997,0,FALSE,0.708333333333333
"248","HMRC",2009,"All grades","Male",39940,93120,0.428908934707904,"HMRCAll grades",0.58001521683997,0,FALSE,0.428908934707904
"249","HMRC",2010,"SCS","Male",290,420,0.69047619047619,"HMRCSCS",0.58001521683997,0,FALSE,0.69047619047619
"251","HMRC",2010,"All grades","Male",37560,87370,0.429895845255809,"HMRCAll grades",0.58001521683997,0,FALSE,0.429895845255809
"254","HMRC",2011,"SCS","Male",270,390,0.692307692307692,"HMRCSCS",0.58001521683997,0,FALSE,0.692307692307692
"255","HMRC",2011,"All grades","Male",32890,78590,0.41850108156254,"HMRCAll grades",0.58001521683997,0,FALSE,0.41850108156254
"257","HMRC",2012,"SCS","Male",260,400,0.65,"HMRCSCS",0.58001521683997,0,FALSE,0.65
"260","HMRC",2012,"All grades","Male",33120,78860,0.41998478316003,"HMRCAll grades",0.58001521683997,0,FALSE,0.41998478316003
"261","HMT",2008,"SCS","Male",70,110,0.636363636363636,"HMTSCS",0.476635514018692,0,FALSE,0.636363636363636
"263","HMT",2008,"All grades","Male",650,1160,0.560344827586207,"HMTAll grades",0.476635514018692,0,FALSE,0.560344827586207
"265","HMT",2009,"SCS","Male",60,90,0.666666666666667,"HMTSCS",0.476635514018692,0,FALSE,0.666666666666667
"268","HMT",2009,"All grades","Male",720,1330,0.541353383458647,"HMTAll grades",0.476635514018692,0,FALSE,0.541353383458647
"269","HMT",2010,"SCS","Male",100,160,0.625,"HMTSCS",0.476635514018692,0,FALSE,0.625
"271","HMT",2010,"All grades","Male",800,1450,0.551724137931034,"HMTAll grades",0.476635514018692,0,FALSE,0.551724137931034
"274","HMT",2011,"SCS","Male",80,130,0.615384615384615,"HMTSCS",0.476635514018692,0,FALSE,0.615384615384615
"275","HMT",2011,"All grades","Male",710,1340,0.529850746268657,"HMTAll grades",0.476635514018692,0,FALSE,0.529850746268657
"277","HMT",2012,"SCS","Male",70,120,0.583333333333333,"HMTSCS",0.476635514018692,0,FALSE,0.583333333333333
"280","HMT",2012,"All grades","Male",560,1070,0.523364485981308,"HMTAll grades",0.476635514018692,0,FALSE,0.523364485981308
"281","HO",2008,"SCS","Male",100,140,0.714285714285714,"HOSCS",0.442790697674419,0,FALSE,0.714285714285714
"283","HO",2008,"All grades","Male",1360,2770,0.490974729241877,"HOAll grades",0.442790697674419,0,FALSE,0.490974729241877
"285","HO",2009,"SCS","Male",110,160,0.6875,"HOSCS",0.442790697674419,0,FALSE,0.6875
"288","HO",2009,"All grades","Male",1500,3050,0.491803278688525,"HOAll grades",0.442790697674419,0,FALSE,0.491803278688525
"289","HO",2010,"SCS","Male",100,150,0.666666666666667,"HOSCS",0.442790697674419,0,FALSE,0.666666666666667
