"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"15","BIS",2011,"All grades","Male",5570,11820,0.471235194585448,"BISAll grades",0.502229654403567,0,FALSE,0.471235194585448
"17","BIS",2012,"SCS","Male",230,380,0.605263157894737,"BISSCS",0.502229654403567,0,FALSE,0.605263157894737
"20","BIS",2012,"All grades","Male",8930,17940,0.497770345596433,"BISAll grades",0.502229654403567,0,FALSE,0.497770345596433
"21","CO",2008,"SCS","Male",140,230,0.608695652173913,"COSCS",0.509157509157509,0,FALSE,0.608695652173913
"23","CO",2008,"All grades","Male",1450,3110,0.466237942122186,"COAll grades",0.509157509157509,0,FALSE,0.466237942122186
"25","CO",2009,"SCS","Male",140,240,0.583333333333333,"COSCS",0.509157509157509,0,FALSE,0.583333333333333
"28","CO",2009,"All grades","Male",1470,3280,0.448170731707317,"COAll grades",0.509157509157509,0,FALSE,0.448170731707317
"29","CO",2010,"SCS","Male",160,270,0.592592592592593,"COSCS",0.509157509157509,0,FALSE,0.592592592592593
"31","CO",2010,"All grades","Male",1480,3290,0.449848024316109,"COAll grades",0.509157509157509,0,FALSE,0.449848024316109
"34","CO",2011,"SCS","Male",160,270,0.592592592592593,"COSCS",0.509157509157509,0,FALSE,0.592592592592593
"35","CO",2011,"All grades","Male",1400,3070,0.456026058631922,"COAll grades",0.509157509157509,0,FALSE,0.456026058631922
"37","CO",2012,"SCS","Male",160,250,0.64,"COSCS",0.509157509157509,0,FALSE,0.64
"40","CO",2012,"All grades","Male",1340,2730,0.490842490842491,"COAll grades",0.509157509157509,0,FALSE,0.490842490842491
"41","DCLG",2008,"SCS","Male",110,190,0.578947368421053,"DCLGSCS",0.476534296028881,0,FALSE,0.578947368421053
"43","DCLG",2008,"All grades","Male",3220,5550,0.58018018018018,"DCLGAll grades",0.476534296028881,0,FALSE,0.58018018018018
"45","DCLG",2009,"SCS","Male",90,140,0.642857142857143,"DCLGSCS",0.476534296028881,0,FALSE,0.642857142857143
"48","DCLG",2009,"All grades","Male",2990,5080,0.588582677165354,"DCLGAll grades",0.476534296028881,0,FALSE,0.588582677165354
"49","DCLG",2010,"SCS","Male",90,140,0.642857142857143,"DCLGSCS",0.476534296028881,0,FALSE,0.642857142857143
"51","DCLG",2010,"All grades","Male",2880,4920,0.585365853658537,"DCLGAll grades",0.476534296028881,0,FALSE,0.585365853658537
"54","DCLG",2011,"SCS","Male",80,130,0.615384615384615,"DCLGSCS",0.476534296028881,0,FALSE,0.615384615384615
"55","DCLG",2011,"All grades","Male",2550,4400,0.579545454545455,"DCLGAll grades",0.476534296028881,0,FALSE,0.579545454545455
"57","DCLG",2012,"SCS","Male",60,100,0.6,"DCLGSCS",0.476534296028881,0,FALSE,0.6
"60","DCLG",2012,"All grades","Male",1450,2770,0.523465703971119,"DCLGAll grades",0.476534296028881,0,FALSE,0.523465703971119
"61","DCMS",2008,"SCS","Male",20,30,0.666666666666667,"DCMSSCS",0.457627118644068,0,FALSE,0.666666666666667
"63","DCMS",2008,"All grades","Male",310,570,0.543859649122807,"DCMSAll grades",0.457627118644068,0,FALSE,0.543859649122807
"65","DCMS",2009,"SCS","Male",30,50,0.6,"DCMSSCS",0.457627118644068,0,FALSE,0.6
"68","DCMS",2009,"All grades","Male",390,780,0.5,"DCMSAll grades",0.457627118644068,0,FALSE,0.5
"69","DCMS",2010,"SCS","Male",30,70,0.428571428571429,"DCMSSCS",0.457627118644068,0,FALSE,0.428571428571429
"71","DCMS",2010,"All grades","Male",420,840,0.5,"DCMSAll grades",0.457627118644068,0,FALSE,0.5
"74","DCMS",2011,"SCS","Male",30,70,0.428571428571429,"DCMSSCS",0.457627118644068,0,FALSE,0.428571428571429
"75","DCMS",2011,"All grades","Male",390,790,0.493670886075949,"DCMSAll grades",0.457627118644068,0,FALSE,0.493670886075949
"77","DCMS",2012,"SCS","Male",20,40,0.5,"DCMSSCS",0.457627118644068,0,FALSE,0.5
"80","DCMS",2012,"All grades","Male",320,590,0.542372881355932,"DCMSAll grades",0.457627118644068,0,FALSE,0.542372881355932
"81","DECC",2008,"SCS","Male",0,0,NA,"DECCSCS",0.450381679389313,0,FALSE,NA
"83","DECC",2008,"All grades","Male",0,0,NA,"DECCAll grades",0.450381679389313,0,FALSE,NA
"85","DECC",2009,"SCS","Male",50,60,0.833333333333333,"DECCSCS",0.450381679389313,0,FALSE,0.833333333333333
"88","DECC",2009,"All grades","Male",530,910,0.582417582417582,"DECCAll grades",0.450381679389313,0,FALSE,0.582417582417582
