"","Age.band","Group","Date","count","total","share","gradeval","sorter","totalgroup","share2","left","grp","yvar"
"182","30-39","HO",2010,7550,27030,0.279319274879763,2,6.25103812759532,FALSE,0.139659637439882,TRUE,"TRUE2010",0.139659637439882
"183","40-49","HO",2010,7800,27030,0.288568257491676,3,6.25103812759532,FALSE,0.144284128745838,TRUE,"TRUE2010",0.144284128745838
"184","50-59","HO",2010,5180,27030,0.191638919718831,4,6.25103812759532,FALSE,0.0958194598594155,TRUE,"TRUE2010",0.0958194598594155
"185","60-64","HO",2010,1100,27030,0.0406955234924158,5,6.25103812759532,FALSE,0.0203477617462079,TRUE,"TRUE2010",0.0203477617462079
"186","65 +","HO",2010,120,27030,0.00443951165371809,6,6.25103812759532,FALSE,0.00221975582685905,TRUE,"TRUE2010",0.00221975582685905
"187","< 29","HO",2013,3450,26490,0.130237825594564,1,6.25103812759532,FALSE,0.065118912797282,TRUE,"TRUE2013",0.065118912797282
"188","30-39","HO",2013,7630,26490,0.28803322008305,2,6.25103812759532,FALSE,0.144016610041525,TRUE,"TRUE2013",0.144016610041525
"189","40-49","HO",2013,8590,26490,0.324273310683277,3,6.25103812759532,FALSE,0.162136655341638,TRUE,"TRUE2013",0.162136655341638
"190","50-59","HO",2013,5660,26490,0.213665534163835,4,6.25103812759532,FALSE,0.106832767081918,TRUE,"TRUE2013",0.106832767081918
"191","60-64","HO",2013,970,26490,0.0366175915439789,5,6.25103812759532,FALSE,0.0183087957719894,TRUE,"TRUE2013",0.0183087957719894
"192","65 +","HO",2013,190,26490,0.00717251793129483,6,6.25103812759532,FALSE,0.00358625896564741,TRUE,"TRUE2013",0.00358625896564741
"193","< 29","DCLG",2010,310,2650,0.116981132075472,1,6.28323699421965,FALSE,-0.0584905660377358,FALSE,"FALSE2010",-0.0584905660377358
