"","Group","Gender","Date","Civil.Service.grad","count","total","share","grp","sorter","totalgroup","yvar"
"80","DWP","Female",2011,"All grades",81910,122400,0.669199346405229,"DWPTotal",0.675962692769415,FALSE,0.669199346405229
"81","DWP","Female",2012,"SCS",110,290,0.379310344827586,"DWPSenior Civil Service",0.675962692769415,FALSE,0.379310344827586
"82","DWP","Female",2012,"All grades",76100,112480,0.676564722617354,"DWPTotal",0.675962692769415,FALSE,0.676564722617354
"83","DWP","Female",2013,"SCS",100,280,0.357142857142857,"DWPSenior Civil Service",0.675962692769415,FALSE,0.357142857142857
"84","DWP","Female",2013,"All grades",73200,108290,0.675962692769415,"DWPTotal",0.675962692769415,FALSE,0.675962692769415
"85","Defra","Female",2008,"SCS",60,200,0.3,"DefraSenior Civil Service",0.530092592592593,FALSE,0.3
"86","Defra","Female",2008,"All grades",6020,11530,0.522116218560278,"DefraTotal",0.530092592592593,FALSE,0.522116218560278
"87","Defra","Female",2009,"SCS",50,180,0.277777777777778,"DefraSenior Civil Service",0.530092592592593,FALSE,0.277777777777778
"88","Defra","Female",2009,"All grades",5840,11090,0.526600541027953,"DefraTotal",0.530092592592593,FALSE,0.526600541027953
"89","Defra","Female",2010,"SCS",50,190,0.263157894736842,"DefraSenior Civil Service",0.530092592592593,FALSE,0.263157894736842
"90","Defra","Female",2010,"All grades",5860,10980,0.533697632058288,"DefraTotal",0.530092592592593,FALSE,0.533697632058288
"91","Defra","Female",2011,"SCS",50,170,0.294117647058824,"DefraSenior Civil Service",0.530092592592593,FALSE,0.294117647058824
"92","Defra","Female",2011,"All grades",5330,9980,0.534068136272545,"DefraTotal",0.530092592592593,FALSE,0.534068136272545
"93","Defra","Female",2012,"SCS",30,140,0.214285714285714,"DefraSenior Civil Service",0.530092592592593,FALSE,0.214285714285714
"94","Defra","Female",2012,"All grades",4810,9020,0.533259423503326,"DefraTotal",0.530092592592593,FALSE,0.533259423503326
"95","Defra","Female",2013,"SCS",50,150,0.333333333333333,"DefraSenior Civil Service",0.530092592592593,FALSE,0.333333333333333
"96","Defra","Female",2013,"All grades",4580,8640,0.530092592592593,"DefraTotal",0.530092592592593,FALSE,0.530092592592593
"97","DfE","Female",2008,"SCS",90,180,0.5,"DfESenior Civil Service",0.591639871382637,FALSE,0.5
"98","DfE","Female",2008,"All grades",3790,5910,0.641285956006768,"DfETotal",0.591639871382637,FALSE,0.641285956006768
"99","DfE","Female",2009,"SCS",110,180,0.611111111111111,"DfESenior Civil Service",0.591639871382637,FALSE,0.611111111111111
"100","DfE","Female",2009,"All grades",3670,5740,0.639372822299652,"DfETotal",0.591639871382637,FALSE,0.639372822299652
"101","DfE","Female",2010,"SCS",100,190,0.526315789473684,"DfESenior Civil Service",0.591639871382637,FALSE,0.526315789473684
"102","DfE","Female",2010,"All grades",3380,5250,0.643809523809524,"DfETotal",0.591639871382637,FALSE,0.643809523809524
"103","DfE","Female",2011,"SCS",100,180,0.555555555555556,"DfESenior Civil Service",0.591639871382637,FALSE,0.555555555555556
"104","DfE","Female",2011,"All grades",2750,4590,0.599128540305011,"DfETotal",0.591639871382637,FALSE,0.599128540305011
"105","DfE","Female",2012,"SCS",80,190,0.421052631578947,"DfESenior Civil Service",0.591639871382637,FALSE,0.421052631578947
"106","DfE","Female",2012,"All grades",2720,4550,0.597802197802198,"DfETotal",0.591639871382637,FALSE,0.597802197802198
"107","DfE","Female",2013,"SCS",170,380,0.447368421052632,"DfESenior Civil Service",0.591639871382637,FALSE,0.447368421052632
"108","DfE","Female",2013,"All grades",5520,9330,0.591639871382637,"DfETotal",0.591639871382637,FALSE,0.591639871382637
"109","DfID","Female",2008,"SCS",40,100,0.4,"DfIDSenior Civil Service",0.513812154696133,FALSE,0.4
"110","DfID","Female",2008,"All grades",840,1670,0.502994011976048,"DfIDTotal",0.513812154696133,FALSE,0.502994011976048
"111","DfID","Female",2009,"SCS",30,100,0.3,"DfIDSenior Civil Service",0.513812154696133,FALSE,0.3
"112","DfID","Female",2009,"All grades",830,1660,0.5,"DfIDTotal",0.513812154696133,FALSE,0.5
"113","DfID","Female",2010,"SCS",30,100,0.3,"DfIDSenior Civil Service",0.513812154696133,FALSE,0.3
"114","DfID","Female",2010,"All grades",820,1620,0.506172839506173,"DfIDTotal",0.513812154696133,FALSE,0.506172839506173
"115","DfID","Female",2011,"SCS",30,80,0.375,"DfIDSenior Civil Service",0.513812154696133,FALSE,0.375
"116","DfID","Female",2011,"All grades",830,1610,0.515527950310559,"DfIDTotal",0.513812154696133,FALSE,0.515527950310559
"117","DfID","Female",2012,"SCS",30,80,0.375,"DfIDSenior Civil Service",0.513812154696133,FALSE,0.375
"118","DfID","Female",2012,"All grades",880,1710,0.514619883040936,"DfIDTotal",0.513812154696133,FALSE,0.514619883040936
"119","DfID","Female",2013,"SCS",30,80,0.375,"DfIDSenior Civil Service",0.513812154696133,FALSE,0.375
