"","Civil.Service.grad","gradeval","Group","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"321","AO/AA",1,"DWP",2010,64560,129670,0.497879231896352,0.497879231896352,0.331333384745893,FALSE,-0.248939615948176,FALSE,"FALSE2010",-0.248939615948176
"322","EO",2,"DWP",2010,48570,129670,0.374566206524254,0.749132413048508,0.331333384745893,FALSE,-0.187283103262127,FALSE,"FALSE2010",-0.187283103262127
"323","G6/G7",4,"DWP",2010,2860,129670,0.0220559882779363,0.0882239531117452,0.331333384745893,FALSE,-0.0110279941389682,FALSE,"FALSE2010",-0.0110279941389682
"324","SCS",5,"DWP",2010,350,129670,0.00269915940464255,0.0134957970232128,0.331333384745893,FALSE,-0.00134957970232128,FALSE,"FALSE2010",-0.00134957970232128
"325","SEO/HEO",3,"DWP",2010,13310,129670,0.10264517621655,0.307935528649649,0.331333384745893,FALSE,-0.0513225881082748,FALSE,"FALSE2010",-0.0513225881082748
"326","AO/AA",1,"DWP",2013,50380,104890,0.480312708551816,0.480312708551816,0.333396891982076,FALSE,-0.240156354275908,FALSE,"FALSE2013",-0.240156354275908
"327","EO",2,"DWP",2013,41710,104890,0.397654685861379,0.795309371722757,0.333396891982076,FALSE,-0.198827342930689,FALSE,"FALSE2013",-0.198827342930689
"328","G6/G7",4,"DWP",2013,2170,104890,0.0206883401658881,0.0827533606635523,0.333396891982076,FALSE,-0.010344170082944,FALSE,"FALSE2013",-0.010344170082944
"329","SCS",5,"DWP",2013,240,104890,0.0022881113547526,0.011440556773763,0.333396891982076,FALSE,-0.0011440556773763,FALSE,"FALSE2013",-0.0011440556773763
"330","SEO/HEO",3,"DWP",2013,10390,104890,0.0990561540661646,0.297168462198494,0.333396891982076,FALSE,-0.0495280770330823,FALSE,"FALSE2013",-0.0495280770330823
"331","AO/AA",1,"DWP",2010,64560,129670,0.497879231896352,0.497879231896352,0.331333384745893,FALSE,0.248939615948176,TRUE,"TRUE2010",0.248939615948176
"332","EO",2,"DWP",2010,48570,129670,0.374566206524254,0.749132413048508,0.331333384745893,FALSE,0.187283103262127,TRUE,"TRUE2010",0.187283103262127
"333","G6/G7",4,"DWP",2010,2860,129670,0.0220559882779363,0.0882239531117452,0.331333384745893,FALSE,0.0110279941389682,TRUE,"TRUE2010",0.0110279941389682
"334","SCS",5,"DWP",2010,350,129670,0.00269915940464255,0.0134957970232128,0.331333384745893,FALSE,0.00134957970232128,TRUE,"TRUE2010",0.00134957970232128
