"","Group","Date","Disability.statu","Civil.Service.grad","count","total","share","sorter","totalgroup","grp","yvar"
"93","DfID",2012,"Disabled","SCS",0,80,0,0.0331491712707182,FALSE,"DfIDSCS",0
"94","DfID",2012,"Disabled","All grades",70,1710,0.0409356725146199,0.0331491712707182,FALSE,"DfIDAll grades",0.0409356725146199
"95","DfID",2013,"Disabled","SCS",0,80,0,0.0331491712707182,FALSE,"DfIDSCS",0
"96","DfID",2013,"Disabled","All grades",60,1810,0.0331491712707182,0.0331491712707182,FALSE,"DfIDAll grades",0.0331491712707182
"97","DfT",2008,"Disabled","SCS",0,200,0,0.0934004474272931,FALSE,"DfTSCS",0
"98","DfT",2008,"Disabled","All grades",970,19450,0.0498714652956298,0.0934004474272931,FALSE,"DfTAll grades",0.0498714652956298
"99","DfT",2009,"Disabled","SCS",0,210,0,0.0934004474272931,FALSE,"DfTSCS",0
"100","DfT",2009,"Disabled","All grades",1590,19530,0.0814132104454685,0.0934004474272931,FALSE,"DfTAll grades",0.0814132104454685
"101","DfT",2010,"Disabled","SCS",0,230,0,0.0934004474272931,FALSE,"DfTSCS",0
"102","DfT",2010,"Disabled","All grades",1660,19620,0.0846075433231396,0.0934004474272931,FALSE,"DfTAll grades",0.0846075433231396
"103","DfT",2011,"Disabled","SCS",0,200,0,0.0934004474272931,FALSE,"DfTSCS",0
"104","DfT",2011,"Disabled","All grades",1690,18620,0.0907626208378088,0.0934004474272931,FALSE,"DfTAll grades",0.0907626208378088
"105","DfT",2012,"Disabled","SCS",0,200,0,0.0934004474272931,FALSE,"DfTSCS",0
"106","DfT",2012,"Disabled","All grades",1700,17940,0.0947603121516165,0.0934004474272931,FALSE,"DfTAll grades",0.0947603121516165
"107","DfT",2013,"Disabled","SCS",0,200,0,0.0934004474272931,FALSE,"DfTSCS",0
"108","DfT",2013,"Disabled","All grades",1670,17880,0.0934004474272931,0.0934004474272931,FALSE,"DfTAll grades",0.0934004474272931
"109","DH",2008,"Disabled","SCS",20,400,0.05,0.0509977827050998,FALSE,"DHSCS",0.05
"110","DH",2008,"Disabled","All grades",260,5650,0.0460176991150442,0.0509977827050998,FALSE,"DHAll grades",0.0460176991150442
"111","DH",2009,"Disabled","SCS",10,420,0.0238095238095238,0.0509977827050998,FALSE,"DHSCS",0.0238095238095238
"112","DH",2009,"Disabled","All grades",240,5550,0.0432432432432432,0.0509977827050998,FALSE,"DHAll grades",0.0432432432432432
"113","DH",2010,"Disabled","SCS",10,440,0.0227272727272727,0.0509977827050998,FALSE,"DHSCS",0.0227272727272727
"114","DH",2010,"Disabled","All grades",290,5590,0.0518783542039356,0.0509977827050998,FALSE,"DHAll grades",0.0518783542039356
"115","DH",2011,"Disabled","SCS",10,390,0.0256410256410256,0.0509977827050998,FALSE,"DHSCS",0.0256410256410256
"116","DH",2011,"Disabled","All grades",260,5210,0.0499040307101727,0.0509977827050998,FALSE,"DHAll grades",0.0499040307101727
"117","DH",2012,"Disabled","SCS",10,360,0.0277777777777778,0.0509977827050998,FALSE,"DHSCS",0.0277777777777778
"118","DH",2012,"Disabled","All grades",230,4590,0.0501089324618736,0.0509977827050998,FALSE,"DHAll grades",0.0501089324618736
"119","DH",2013,"Disabled","SCS",10,360,0.0277777777777778,0.0509977827050998,FALSE,"DHSCS",0.0277777777777778
"120","DH",2013,"Disabled","All grades",230,4510,0.0509977827050998,0.0509977827050998,FALSE,"DHAll grades",0.0509977827050998
"121","DWP",2008,"Disabled","SCS",10,360,0.0277777777777778,0.0542062979037769,FALSE,"DWPSCS",0.0277777777777778
