"","Group","Date","Civil.Service.grad","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","yvar"
"49","DECC",2012,"SCS",5,"Male",60,1310,0.0458015267175573,"DECCMale",0.0687022900763359,0.343511450381679,0.673282442748092,0.673282442748092,0.0458015267175573
"50","DECC",2012,"G6/G7",4,"Female",-230,1310,-0.175572519083969,"DECCFemale",0.412213740458015,1.64885496183206,0.673282442748092,0.673282442748092,-0.175572519083969
"51","Defra",2012,"EO",2,"Female",-210,2170,-0.0967741935483871,"DefraFemale",0.165898617511521,0.331797235023041,0.568663594470046,0.568663594470046,-0.0967741935483871
"52","Defra",2012,"SEO/HEO",3,"Female",-450,2170,-0.207373271889401,"DefraFemale",0.414746543778802,1.24423963133641,0.568663594470046,0.568663594470046,-0.207373271889401
"53","Defra",2012,"AO/AA",1,"Male",130,2170,0.0599078341013825,"DefraMale",0.152073732718894,0.152073732718894,0.568663594470046,0.568663594470046,0.0599078341013825
"54","Defra",2012,"AO/AA",1,"Female",-200,2170,-0.0921658986175115,"DefraFemale",0.152073732718894,0.152073732718894,0.568663594470046,0.568663594470046,-0.0921658986175115
"55","Defra",2012,"SCS",5,"Male",70,2170,0.032258064516129,"DefraMale",0.0460829493087558,0.230414746543779,0.568663594470046,0.568663594470046,0.032258064516129
"56","Defra",2012,"SCS",5,"Female",-30,2170,-0.0138248847926267,"DefraFemale",0.0460829493087558,0.230414746543779,0.568663594470046,0.568663594470046,-0.0138248847926267
"57","Defra",2012,"G6/G7",4,"Male",280,2170,0.129032258064516,"DefraMale",0.221198156682028,0.884792626728111,0.568663594470046,0.568663594470046,0.129032258064516
"58","Defra",2012,"G6/G7",4,"Female",-200,2170,-0.0921658986175115,"DefraFemale",0.221198156682028,0.884792626728111,0.568663594470046,0.568663594470046,-0.0921658986175115
"59","Defra",2012,"SEO/HEO",3,"Male",450,2170,0.207373271889401,"DefraMale",0.414746543778802,1.24423963133641,0.568663594470046,0.568663594470046,0.207373271889401
"60","Defra",2012,"EO",2,"Male",150,2170,0.0691244239631336,"DefraMale",0.165898617511521,0.331797235023041,0.568663594470046,0.568663594470046,0.0691244239631336
"61","DfE",2012,"G6/G7",4,"Female",-430,2790,-0.154121863799283,"DfEFemale",0.28673835125448,1.14695340501792,0.61505376344086,0.61505376344086,-0.154121863799283
"62","DfE",2012,"EO",2,"Male",140,2790,0.0501792114695341,"DfEMale",0.168458781362007,0.336917562724014,0.61505376344086,0.61505376344086,0.0501792114695341
"63","DfE",2012,"EO",2,"Female",-330,2790,-0.118279569892473,"DfEFemale",0.168458781362007,0.336917562724014,0.61505376344086,0.61505376344086,-0.118279569892473
"64","DfE",2012,"G6/G7",4,"Male",370,2790,0.132616487455197,"DfEMale",0.28673835125448,1.14695340501792,0.61505376344086,0.61505376344086,0.132616487455197
"65","DfE",2012,"AO/AA",1,"Male",60,2790,0.021505376344086,"DfEMale",0.0681003584229391,0.0681003584229391,0.61505376344086,0.61505376344086,0.021505376344086
"66","DfE",2012,"AO/AA",1,"Female",-130,2790,-0.046594982078853,"DfEFemale",0.0681003584229391,0.0681003584229391,0.61505376344086,0.61505376344086,-0.046594982078853
"67","DfE",2012,"SEO/HEO",3,"Female",-700,2790,-0.25089605734767,"DfEFemale",0.43010752688172,1.29032258064516,0.61505376344086,0.61505376344086,-0.25089605734767
"68","DfE",2012,"SCS",5,"Female",-70,2790,-0.025089605734767,"DfEFemale",0.046594982078853,0.232974910394265,0.61505376344086,0.61505376344086,-0.025089605734767
"69","DfE",2012,"SCS",5,"Male",60,2790,0.021505376344086,"DfEMale",0.046594982078853,0.232974910394265,0.61505376344086,0.61505376344086,0.021505376344086
"70","DfE",2012,"SEO/HEO",3,"Male",500,2790,0.17921146953405,"DfEMale",0.43010752688172,1.29032258064516,0.61505376344086,0.61505376344086,0.17921146953405
"71","DfID",2012,"AO/AA",1,"Male",40,1710,0.0233918128654971,"DfIDMale",0.064327485380117,0.064327485380117,0.670175438596491,0.670175438596491,0.0233918128654971
"72","DfID",2012,"SCS",5,"Female",-30,1710,-0.0175438596491228,"DfIDFemale",0.0467836257309941,0.233918128654971,0.670175438596491,0.670175438596491,-0.0175438596491228
"73","DfID",2012,"EO",2,"Female",-100,1710,-0.0584795321637427,"DfIDFemale",0.105263157894737,0.210526315789474,0.670175438596491,0.670175438596491,-0.0584795321637427
"74","DfID",2012,"G6/G7",4,"Female",-430,1710,-0.251461988304094,"DfIDFemale",0.508771929824561,2.03508771929825,0.670175438596491,0.670175438596491,-0.251461988304094
"75","DfID",2012,"SCS",5,"Male",50,1710,0.0292397660818713,"DfIDMale",0.0467836257309941,0.233918128654971,0.670175438596491,0.670175438596491,0.0292397660818713
"76","DfID",2012,"AO/AA",1,"Female",-70,1710,-0.0409356725146199,"DfIDFemale",0.064327485380117,0.064327485380117,0.670175438596491,0.670175438596491,-0.0409356725146199
"77","DfID",2012,"SEO/HEO",3,"Female",-250,1710,-0.146198830409357,"DfIDFemale",0.269005847953216,0.807017543859649,0.670175438596491,0.670175438596491,-0.146198830409357
"78","DfID",2012,"EO",2,"Male",80,1710,0.0467836257309941,"DfIDMale",0.105263157894737,0.210526315789474,0.670175438596491,0.670175438596491,0.0467836257309941
"79","DfID",2012,"G6/G7",4,"Male",440,1710,0.257309941520468,"DfIDMale",0.508771929824561,2.03508771929825,0.670175438596491,0.670175438596491,0.257309941520468
"80","DfID",2012,"SEO/HEO",3,"Male",210,1710,0.12280701754386,"DfIDMale",0.269005847953216,0.807017543859649,0.670175438596491,0.670175438596491,0.12280701754386
"81","DfT",2012,"G6/G7",4,"Male",380,1670,0.227544910179641,"DfTMale",0.335329341317365,1.34131736526946,0.649101796407186,0.649101796407186,0.227544910179641
"82","DfT",2012,"SCS",5,"Male",80,1670,0.0479041916167665,"DfTMale",0.0718562874251497,0.359281437125749,0.649101796407186,0.649101796407186,0.0479041916167665
"83","DfT",2012,"AO/AA",1,"Male",40,1670,0.0239520958083832,"DfTMale",0.0718562874251497,0.0718562874251497,0.649101796407186,0.649101796407186,0.0239520958083832
"84","DfT",2012,"SEO/HEO",3,"Male",440,1670,0.263473053892216,"DfTMale",0.407185628742515,1.22155688622754,0.649101796407186,0.649101796407186,0.263473053892216
"85","DfT",2012,"EO",2,"Female",-90,1670,-0.0538922155688623,"DfTFemale",0.125748502994012,0.251497005988024,0.649101796407186,0.649101796407186,-0.0538922155688623
"86","DfT",2012,"G6/G7",4,"Female",-180,1670,-0.107784431137725,"DfTFemale",0.335329341317365,1.34131736526946,0.649101796407186,0.649101796407186,-0.107784431137725
"87","DfT",2012,"SCS",5,"Female",-40,1670,-0.0239520958083832,"DfTFemale",0.0718562874251497,0.359281437125749,0.649101796407186,0.649101796407186,-0.0239520958083832
"88","DfT",2012,"EO",2,"Male",120,1670,0.0718562874251497,"DfTMale",0.125748502994012,0.251497005988024,0.649101796407186,0.649101796407186,0.0718562874251497
"89","DfT",2012,"AO/AA",1,"Female",-80,1670,-0.0479041916167665,"DfTFemale",0.0718562874251497,0.0718562874251497,0.649101796407186,0.649101796407186,-0.0479041916167665
"90","DfT",2012,"SEO/HEO",3,"Female",-240,1670,-0.143712574850299,"DfTFemale",0.407185628742515,1.22155688622754,0.649101796407186,0.649101796407186,-0.143712574850299
"91","DH",2012,"AO/AA",1,"Female",-80,2370,-0.0337552742616034,"DHFemale",0.0506329113924051,0.0506329113924051,0.659915611814346,0.659915611814346,-0.0337552742616034
"92","DH",2012,"SEO/HEO",3,"Female",-480,2370,-0.20253164556962,"DHFemale",0.362869198312236,1.08860759493671,0.659915611814346,0.659915611814346,-0.20253164556962
"93","DH",2012,"SCS",5,"Male",130,2370,0.0548523206751055,"DHMale",0.0928270042194093,0.464135021097046,0.659915611814346,0.659915611814346,0.0548523206751055
"94","DH",2012,"EO",2,"Female",-270,2370,-0.113924050632911,"DHFemale",0.156118143459916,0.312236286919831,0.659915611814346,0.659915611814346,-0.113924050632911
"95","DH",2012,"G6/G7",4,"Female",-440,2370,-0.185654008438819,"DHFemale",0.345991561181435,1.38396624472574,0.659915611814346,0.659915611814346,-0.185654008438819
"96","DH",2012,"SCS",5,"Female",-90,2370,-0.0379746835443038,"DHFemale",0.0928270042194093,0.464135021097046,0.659915611814346,0.659915611814346,-0.0379746835443038
"97","DH",2012,"AO/AA",1,"Male",40,2370,0.0168776371308017,"DHMale",0.0506329113924051,0.0506329113924051,0.659915611814346,0.659915611814346,0.0168776371308017
"98","DH",2012,"SEO/HEO",3,"Male",380,2370,0.160337552742616,"DHMale",0.362869198312236,1.08860759493671,0.659915611814346,0.659915611814346,0.160337552742616
"99","DH",2012,"EO",2,"Male",100,2370,0.0421940928270042,"DHMale",0.156118143459916,0.312236286919831,0.659915611814346,0.659915611814346,0.0421940928270042
"100","DH",2012,"G6/G7",4,"Male",380,2370,0.160337552742616,"DHMale",0.345991561181435,1.38396624472574,0.659915611814346,0.659915611814346,0.160337552742616
"101","DWP",2012,"AO/AA",1,"Male",16060,112470,0.142793633857918,"DWPMale",0.48741886725349,0.48741886725349,0.335396105628168,0.335396105628168,0.142793633857918
